#Macho_id CAR_Sigma_B CAR_mean_B CAR_tau_B max_loglik_B fit_B CAR_Sigma_R CAR_mean_R CAR_Tau_R max_loglik_R fit_R Sigma_B Eta_B Con_B stetson_L_B CuSum_B B-R_B Period_B Period_SNR_B stetson_K_AC_B N_above_4_B N_below_4_B label Sigma_R Eta_R Con_R stetson_L_R CuSum_R B-R_R Period_R Period_SNR_R stetson_K_AC_R N_above_4_R N_below_4_R label
17.2108.72 -9.902755e-03 -7.374641e+00 3.668909e+01 -1.046842e+03 2.550072e+01 -9.411428e-03 -7.182790e+00 4.239342e+01 -9.571538e+02 1.547765e+01 0.0106397844043 0.201724286087 0.0 0.0233107001477 0.40869136507 0.191011235955 0.00095320835987 0.111792092119 0.775116659801 0.32229580574 0.178458289335 4 0.018267972333 0.192186622508 0.0 0.0242481600561 0.433610315286 0.191011235955 0.000986759361015 0.0978407385997 0.780600044988 0.291989664083 0.146118721461 4
17.2109.108 -1.764468e-02 -7.235794e+00 3.571689e+01 -7.892065e+02 2.138967e+01 -7.400707e-03 -6.859726e+00 2.348727e+02 -7.139490e+02 5.559512e+00 0.0230384430913 0.128796482437 0.305840767548 0.013420219338 0.451298667144 0.147471910112 0.00095204156777 0.150808298393 0.864403659097 0.412803532009 0.208025343189 4 0.0402724903939 0.218852763472 0.237403143195 0.0143612984498 0.413520352115 0.147471910112 0.000987967970615 0.12438070989 0.850521499479 0.276485788114 0.243150684932 4
17.2469.222 -1.085571e-02 -6.424587e+00 6.421724e+01 -5.951373e+02 1.469701e+01 -2.836983e-02 -6.101188e+00 1.375757e+01 -6.007987e+02 2.362535e+01 0.023278794077 0.205551641191 0.22249603943 0.0103497728097 0.455071247053 0.160580524345 0.00095205270025 0.132675715767 0.833984633676 0.362030905077 0.222808870116 4 0.0428392739727 0.29260120688 0.0141620421754 0.0117306384659 0.431461180251 0.160580524345 0.000987161935089 0.109295735465 0.878559873821 0.268733850129 0.22602739726 4
17.3076.164 4.427481e-03 -6.737661e+00 1.138951e+03 -7.308881e+02 4.831494e+00 5.003283e-03 -6.253683e+00 1.636406e+03 -2.417662e+02 6.072084e+00 0.0477541705394 0.101440259988 0.0134743305475 0.0187395724272 0.542609739796 0.125702247191 0.000952829998293 0.182328554151 0.950337072421 0.289183222958 0.294614572334 4 0.077098127784 0.202272301772 0.0 0.0190436390187 0.307763959646 0.125702247191 0.000988013455922 0.0823096361618 0.959307036196 0.131782945736 0.119863013699 4
18.2483.95 -1.198349e-02 -7.216491e+00 2.704779e+01 -1.521098e+03 1.649583e+01 -1.700692e-02 -7.023800e+00 2.007010e+01 -1.364678e+03 1.948233e+01 0.0138508834335 0.209845835541 0.0348247740798 0.0201210439762 0.568147492272 0.190777153558 0.000952863462666 0.207419235437 0.771932180082 0.282560706402 0.359028511088 4 0.0254816709291 0.22545359708 0.00905092920982 0.021401245774 0.605729557351 0.190777153558 0.000987990858019 0.220957063868 0.858536267377 0.359173126615 0.358447488584 4
18.3445.4646 -1.009749e-02 -6.132233e+00 1.040098e+02 -1.171735e+03 7.914342e+00 1.938388e-01 -5.755291e+00 5.554706e-01 -5.179979e+02 2.827853e+03 0.0299966571516 0.223140970065 0.191327413216 0.00914972723991 0.55369469209 0.1484082397 0.000952852069694 0.120552350646 0.836223461634 0.379690949227 0.36747624076 4 0.069206569975 0.603159048494 0.0 0.0083255689714 0.317315871545 0.1484082397 0.00098796894758 0.0305285113563 0.731495572964 0.144702842377 0.0513698630137 4
18.3446.4192 -1.722516e-02 -7.765182e+00 1.013184e+02 -1.386886e+03 5.155503e+01 -8.144191e-03 -7.335186e+00 3.246474e+02 -1.680323e+03 1.355158e+01 0.0382484602526 0.0244229376028 0.716989485335 0.0548810623869 0.679705428939 0.135767790262 0.000952852069694 0.226044220436 0.92535684452 0.408388520971 0.463569165787 4 0.0508587983583 0.022683365868 0.892666167955 0.0535398708748 0.67834945478 0.135767790262 0.000987183026323 0.188629123221 0.855353053906 0.369509043928 0.455479452055 4
19.3574.89 -1.454348e-02 -7.266297e+00 1.181814e+02 -1.618172e+03 2.024497e+01 -7.439143e-03 -6.844529e+00 4.623090e+02 -1.037364e+03 9.011435e+00 0.0290366638931 0.0471535655938 0.585536858974 0.0411993555483 0.697530026595 0.136938202247 0.000952807515301 0.356505849615 0.918474006396 0.432671081678 0.506863780359 4 0.04409655136 0.0506091938077 0.567568685866 0.0414155265532 0.546248362972 0.136938202247 0.000984304538408 0.225357571437 0.912825259162 0.28165374677 0.301369863014 4
19.3817.109 -2.068322e-02 -7.040307e+00 4.062643e+01 -1.422716e+03 2.586727e+01 -1.014396e-02 -6.609159e+00 1.526232e+02 -8.561400e+02 8.722633e+00 0.0270033814802 0.0884096543617 0.347483633388 0.0305665106252 0.679097951485 0.134597378277 0.000952789514503 0.245136261703 0.84347050568 0.346578366446 0.491024287223 4 0.0416700642972 0.113396940164 0.294255765199 0.032138846878 0.552377219309 0.134597378277 0.000987934323109 0.211383952815 0.882207923421 0.25322997416 0.286529680365 4
19.4306.88 -2.471535e-02 -6.704737e+00 2.711799e+01 -1.258671e+03 3.238667e+01 -6.817259e-03 -6.789773e+00 2.947070e+02 -1.712594e+03 7.639403e+00 0.026582669403 0.236698481195 0.0478497880073 0.0242236253709 0.582685775473 0.255852059925 0.000952789514503 0.204750731971 0.834744091457 0.324503311258 0.563885955649 4 0.0341506167245 0.0964461450977 0.161363751328 0.0246859651937 0.611627631013 0.255852059925 0.000987923716585 0.202337097002 0.768973880742 0.33850129199 0.366438356164 4
206.16717.81 -1.050536e-02 -8.014083e+00 7.540987e+01 -2.325861e+03 2.712372e+01 -1.909800e-02 -7.691401e+00 4.989084e+01 -1.803063e+03 5.047668e+01 0.0165636722657 0.0443870016632 0.0 0.0574574439019 0.638660621607 0.160112359551 0.000422709265441 0.185357630418 0.673948977037 0.295805739514 0.48257655755 4 0.0400831184329 0.0414928468366 0.0428389176123 0.0566590880383 0.588969517036 0.160112359551 0.000985129351339 0.242147797644 0.671073926081 0.317829457364 0.393835616438 4
206.16943.1467 -1.406685e-02 -6.892514e+00 1.252955e+01 -1.875433e+03 3.432824e+01 4.709434e-02 -6.435066e+00 8.335622e+00 -1.049180e+03 1.064083e+02 0.0108530279551 0.401728260585 0.0558155965733 0.0101307977966 0.525586241769 0.127106741573 0.000952822329741 0.197216093522 0.996668511128 0.556291390728 0.480464625132 4 0.0517900335888 0.256341843748 0.0894998947885 0.0113848791306 0.630149940887 0.127106741573 0.00098796001855 0.295483796346 0.99872576175 0.581395348837 0.481735159817 4
